Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Team Standup,11/03/2025,09:00 AM,11/03/2025,09:30 AM,False,,Zoom,False
Diwali Celebration,11/05/2025,,11/05/2025,,True,,,False
PDP Lecture,11/04/2025,10:00 AM,11/04/2025,11:30 AM,False,,,False
PDP Lecture - Updated,11/06/2025,10:00 AM,11/06/2025,11:30 AM,False,,,False
PDP Lecture - Updated,11/11/2025,10:00 AM,11/11/2025,11:30 AM,False,,,False
PDP Lecture - Updated,11/13/2025,10:00 AM,11/13/2025,11:30 AM,False,,,False
Gym,11/03/2025,06:00 PM,11/03/2025,07:00 PM,False,Workout session,,False
Gym,11/04/2025,06:00 PM,11/04/2025,07:00 PM,False,Workout session,,False
Gym,11/05/2025,06:00 PM,11/05/2025,07:00 PM,False,Workout session,,False
Gym,11/06/2025,06:00 PM,11/06/2025,07:00 PM,False,Workout session,,False
Gym,11/07/2025,06:00 PM,11/07/2025,07:00 PM,False,Workout session,,False
Gym,11/10/2025,06:00 PM,11/10/2025,07:00 PM,False,Workout session,,False
Gym,11/11/2025,06:00 PM,11/11/2025,07:00 PM,False,Workout session,,False
Gym,11/12/2025,06:00 PM,11/12/2025,07:00 PM,False,Workout session,,False
Gym,11/13/2025,06:00 PM,11/13/2025,07:00 PM,False,Workout session,,False
Gym,11/14/2025,06:00 PM,11/14/2025,07:00 PM,False,Workout session,,False
