Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Lecture 1,01/08/2025,10:00 AM,01/08/2025,11:00 AM,False,,West Village 325,False
Lecture 2,01/09/2025,07:00 AM,01/09/2025,08:00 AM,False,,,False
Office Hours,01/09/2025,12:00 PM,01/09/2025,01:00 PM,False,,,False
CS5010,01/12/2025,07:30 AM,01/12/2025,08:30 AM,False,,,False
Lecture 2,01/13/2025,07:00 AM,01/13/2025,08:00 AM,False,,,False
Office Hours,01/13/2025,12:00 PM,01/13/2025,01:00 PM,False,,,False
CS5010,01/14/2025,07:30 AM,01/14/2025,08:30 AM,False,,,False
Office Hours,01/15/2025,12:00 PM,01/15/2025,01:00 PM,False,,,False
CS5010,01/19/2025,07:30 AM,01/19/2025,08:30 AM,False,,,False
Seminar Day,01/20/2025,05:00 AM,01/20/2025,02:00 PM,False,,,False
Office Hours,01/20/2025,12:00 PM,01/20/2025,01:00 PM,False,,,False
CS5010,01/21/2025,07:30 AM,01/21/2025,08:30 AM,False,,,False
Seminar Day,01/22/2025,05:00 AM,01/22/2025,02:00 PM,False,,,False
Office Hours,01/22/2025,12:00 PM,01/22/2025,01:00 PM,False,,,False
CS5010 (Module 2),01/26/2025,07:30 AM,01/26/2025,08:30 AM,False,,,False
Seminar Day,01/27/2025,05:00 AM,01/27/2025,02:00 PM,False,,,False
Office Hours,01/27/2025,12:00 PM,01/27/2025,01:00 PM,False,,,False
CS5010 (Module 2),01/28/2025,07:30 AM,01/28/2025,08:30 AM,False,,,False
Office Hours,01/29/2025,12:00 PM,01/29/2025,01:00 PM,False,,,False
Office Hours,02/03/2025,12:00 PM,02/03/2025,01:00 PM,False,,,False
Office Hours,02/05/2025,12:00 PM,02/05/2025,01:00 PM,False,,,False
Office Hours,02/10/2025,12:00 PM,02/10/2025,01:00 PM,False,,,False
Office Hours,02/12/2025,12:00 PM,02/12/2025,01:00 PM,False,,,False
Office Hours,02/17/2025,12:00 PM,02/17/2025,01:00 PM,False,,,False
Office Hours,02/19/2025,12:00 PM,02/19/2025,01:00 PM,False,,,False
Office Hours,02/24/2025,12:00 PM,02/24/2025,01:00 PM,False,,,False
Office Hours,02/26/2025,12:00 PM,02/26/2025,01:00 PM,False,,,False
Office Hours,03/03/2025,12:00 PM,03/03/2025,01:00 PM,False,,,False
Office Hours,03/05/2025,12:00 PM,03/05/2025,01:00 PM,False,,,False
Office Hours,03/10/2025,12:00 PM,03/10/2025,01:00 PM,False,,,False
Office Hours,03/12/2025,12:00 PM,03/12/2025,01:00 PM,False,,,False
Office Hours,03/17/2025,12:00 PM,03/17/2025,01:00 PM,False,,,False
Office Hours,03/19/2025,12:00 PM,03/19/2025,01:00 PM,False,,,False
Office Hours,03/24/2025,12:00 PM,03/24/2025,01:00 PM,False,,,False
Office Hours,03/26/2025,12:00 PM,03/26/2025,01:00 PM,False,,,False
Office Hours,03/31/2025,12:00 PM,03/31/2025,01:00 PM,False,,,False
Office Hours,04/02/2025,12:00 PM,04/02/2025,01:00 PM,False,,,False
Office Hours,04/07/2025,12:00 PM,04/07/2025,01:00 PM,False,,,False
Office Hours,04/09/2025,12:00 PM,04/09/2025,01:00 PM,False,,,False
